,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
176,"['22 February 2019,', '01:45']",CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",F9 B5B1049.3434,Success,2 March 2019,07:49
177,"['2 March 2019,', '07:49']",VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5B1051.2420,Success,4 May 2019,06:48
178,"['4 May 2019,', '06:48']",CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",F9 B5B1056.2465,No attempt,24 May 2019,02:30
179,"['24 May 2019,', '02:30']",CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3472,Success,12 June 2019,14:17
180,"['12 June 2019,', '14:17']",CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,25 July 2019,22:01
181,"['25 July 2019,', '22:01']",CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5[,Success,6 August 2019,23:23
182,"['6 August 2019,', '23:23']",CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3482,Success,11 November 2019,14:56
183,"['11 November 2019,', '14:56']",CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"No attempt
",5 December 2019,17:29
184,"['5 December 2019,', '17:29']",KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Success,17 December 2019,00:10
185,"['17 December 2019,', '00:10']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,7 January 2020,02:19:21
186,"['7 January 2020,', '02:19:21']",CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,19 January 2020,15:30
187,"['19 January 2020,', '15:30']",CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Failure,29 January 2020,14:07
188,"['29 January 2020,', '14:07']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,15:05
189,"['17 February 2020,', '15:05']",KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,7 March 2020,04:50
190,"['7 March 2020,', '04:50']",KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5[,Success,18 March 2020,12:16
191,"['18 March 2020,', '12:16']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
192,"['22 April 2020,', '19:30']",CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,30 May 2020,19:22
193,"['30 May 2020,', '19:22']",CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,Success,4 June 2020,01:25
194,"['4 June 2020,', '01:25']",CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5B1058.2544,Success,13 June 2020,09:21
195,"['13 June 2020,', '09:21']",KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 June 2020,20:10:46
196,"['30 June 2020,', '20:10:46']",CCAFS,Starlink,"~15,440 kg",LEO,CONAE,"Success
",F9 B5B1049.6544,Success,20 July 2020,21:30
197,"['20 July 2020,', '21:30']",CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
198,"['7 August 2020,', '05:12']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,Success,18 August 2020,14:31
199,"['18 August 2020', '14:31']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3565,Success,30 August 2020,23:18
200,"['30 August 2020', '23:18']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6568,Success,3 September 2020,12:46:14
201,"['3 September 2020', '12:46:14']",CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5,Success,6 October 2020,11:29:34
202,"['6 October 2020', '11:29:34']",CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",F9 B5,Success,18 October 2020,12:25:57
203,"['18 October 2020', '12:25:57']",KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5[,Success,24 October 2020,15:31:34
204,"['24 October 2020', '15:31:34']",VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,5 November 2020,23:24:23
205,"['5 November 2020', '23:24:23']",CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,16 November 2020,00:27
206,"['16 November 2020', '00:27']",KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",F9 B5 ♺[,Success,21 November 2020,17:17:08
207,"['21 November 2020', '17:17:08']",CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
208,"['25 November 2020', '02:13']",KSC,NROL-108,C,LEO,Türksat,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
209,"['6 December 2020', '16:17:08']",CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5,Success,13 December 2020,17:30:00
210,"['13 December 2020', '17:30:00']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,Success,19 December 2020,14:00:00
211,"['19 December 2020', '14:00:00']",CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5613,Failure,8 January 2021,02:15
212,"['8 January 2021', '02:15']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,20 January 2021,13:02
213,"['20 January 2021', '13:02']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,24 January 2021,15:00
214,"['24 January 2021', '15:00']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,4 February 2021,06:19
215,"['4 February 2021', '06:19']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,16 February 2021,03:59:37
216,"['16 February 2021', '03:59:37']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
217,"['4 March 2021', '08:24']",CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1060.6643,Success,11 March 2021,08:13:29
218,"['11 March 2021', '08:13:29']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
219,"['14 March 2021', '10:01']",KSC,Crew-2,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5B1061.2647,Success,24 March 2021,08:28
220,"['24 March 2021', '08:28']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7652,Success,7 April 2021,16:34
221,"['7 April 2021', '16:34']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9655,Success,23 April 2021,9:49
222,"['23 April 2021', '9:49']",CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.10657,Success,29 April 2021,03:44
223,"['29 April 2021', '03:44']",KSC,Starlink,"~14,000 kg",LEO,NASA,"Success
",F9 B5B1058.8660,Success,4 May 2021,19:01
224,"['4 May 2021', '19:01']",CCSFS,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5B1063.2665,Success,9 May 2021,06:42
225,"['9 May 2021', '06:42']",KSC,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1067.1668,,15 May 2021,22:56
226,"['15 May 2021', '22:56']",CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5,,26 May 2021,18:59
227,"['26 May 2021', '18:59']",,,,,,,,,3 June 2021,17:29
228,"['3 June 2021', '17:29']",,,,,,,,,6 June 2021,04:26
229,"['6 June 2021', '04:26']",,,,,,,,,,
